,DeviceUser_id,Channel_id,Session_start,Session_end,Duration
415572,5e3d27e1ffc977001ea26f9f,57ea31912bb6581000092e89,2021-01-09 00:01:02.982000+00:00,2021-01-09 00:01:47.982000+00:00,45.0
523665,5e3d2864ffc977001ea270a5,57ea31912bb6581000092e89,2021-01-09 02:10:44.666000+00:00,2021-01-09 02:12:14.666000+00:00,90.0
232314,5e3d419188b36b001e870288,59f9c0dfbc95750d006b98f5,2021-01-09 16:15:06.346000+00:00,2021-01-09 16:15:21.346000+00:00,15.0
232623,5e3d419188b36b001e870288,59f9c0dfbc95750d006b98f5,2021-01-09 16:16:06.638000+00:00,2021-01-09 16:16:51.638000+00:00,45.0
233021,5e3d419188b36b001e870288,59f9c0dfbc95750d006b98f5,2021-01-09 16:17:21.989000+00:00,2021-01-09 16:17:51.989000+00:00,30.0
233311,5e3d419188b36b001e870288,59f9c0dfbc95750d006b98f5,2021-01-09 16:18:22.272000+00:00,2021-01-09 16:19:22.272000+00:00,60.0
233740,5e3d419188b36b001e870288,59f9c0dfbc95750d006b98f5,2021-01-09 16:19:52.694000+00:00,2021-01-09 16:19:52.694000+00:00,0.0
233881,5e3d419188b36b001e870288,59f9c0dfbc95750d006b98f5,2021-01-09 16:20:22.835000+00:00,2021-01-09 16:22:22.835000+00:00,120.0
234602,5e3d419188b36b001e870288,59f9c0dfbc95750d006b98f5,2021-01-09 16:22:53.549000+00:00,2021-01-09 16:23:23.549000+00:00,30.0
234955,5e3d419188b36b001e870288,59f9c0dfbc95750d006b98f5,2021-01-09 16:24:08.899000+00:00,2021-01-09 16:24:38.899000+00:00,30.0
235237,5e3d419188b36b001e870288,59f9c0dfbc95750d006b98f5,2021-01-09 16:25:09.175000+00:00,2021-01-09 16:25:24.175000+00:00,15.0
235444,5e3d419188b36b001e870288,59f9c0dfbc95750d006b98f5,2021-01-09 16:25:54.405000+00:00,2021-01-09 16:25:54.405000+00:00,0.0
235595,5e3d419188b36b001e870288,59f9c0dfbc95750d006b98f5,2021-01-09 16:26:24.547000+00:00,2021-01-09 16:26:54.547000+00:00,30.0
236026,5e3d419188b36b001e870288,59f9c0dfbc95750d006b98f5,2021-01-09 16:27:55.166000+00:00,2021-01-09 16:27:55.166000+00:00,0.0
236237,5e3d419188b36b001e870288,59f9c0dfbc95750d006b98f5,2021-01-09 16:28:40.626000+00:00,2021-01-09 16:29:10.626000+00:00,30.0
236630,5e3d419188b36b001e870288,59f9c0dfbc95750d006b98f5,2021-01-09 16:29:56.240000+00:00,2021-01-09 16:29:56.240000+00:00,0.0
