,DeviceUser_id,Channel_id,Session_start,Session_end,Duration
350750,5e3d2779ffc977001ea26eb1,57ea31912bb6581000092e89,2021-01-11 08:24:37.071000+00:00,2021-01-11 08:24:37.071000+00:00,0.0
392523,5e3d2779ffc977001ea26eb1,57ea31912bb6581000092e89,2021-01-11 08:42:52.356000+00:00,2021-01-11 08:42:52.356000+00:00,0.0
475028,5e3d2779ffc977001ea26eb1,57ea31912bb6581000092e89,2021-01-11 09:17:01.883000+00:00,2021-01-11 09:17:01.883000+00:00,0.0
388955,5e3d2785ffc977001ea26ecb,57ea31912bb6581000092e89,2021-01-11 08:41:20.366000+00:00,2021-01-11 09:43:35.366000+00:00,3735.0
547844,5e3d2785ffc977001ea26ecb,57ea31912bb6581000092e89,2021-01-11 09:44:22.624000+00:00,2021-01-11 09:46:07.624000+00:00,105.0
554212,5e3d2785ffc977001ea26ecb,57ea31912bb6581000092e89,2021-01-11 09:46:38.259000+00:00,2021-01-11 09:48:53.259000+00:00,135.0
374336,5e3d2789ffc977001ea26ed1,57ea31912bb6581000092e89,2021-01-11 08:35:14.145000+00:00,2021-01-11 08:35:14.145000+00:00,0.0
381962,5e3d2789ffc977001ea26ed1,57ea31912bb6581000092e89,2021-01-11 08:38:26.456000+00:00,2021-01-11 08:44:26.456000+00:00,360.0
440541,5e3d2789ffc977001ea26ed1,57ea31912bb6581000092e89,2021-01-11 09:03:41.646000+00:00,2021-01-11 09:03:56.646000+00:00,15.0
441919,5e3d2789ffc977001ea26ed1,57ea31912bb6581000092e89,2021-01-11 09:04:16.627000+00:00,2021-01-11 09:06:31.627000+00:00,135.0
457531,5e3d2789ffc977001ea26ed1,57ea31912bb6581000092e89,2021-01-11 09:10:31.611000+00:00,2021-01-11 09:14:46.611000+00:00,255.0
476328,5e3d2789ffc977001ea26ed1,57ea31912bb6581000092e89,2021-01-11 09:17:31.215000+00:00,2021-01-11 09:17:31.215000+00:00,0.0
488846,5e3d2789ffc977001ea26ed1,57ea31912bb6581000092e89,2021-01-11 09:22:04.819000+00:00,2021-01-11 09:23:34.819000+00:00,90.0
514804,5e3d2789ffc977001ea26ed1,57ea31912bb6581000092e89,2021-01-11 09:32:09.706000+00:00,2021-01-11 09:32:09.706000+00:00,0.0
192112,5e3d284dffc977001ea27075,57ea31912bb6581000092e89,2021-01-11 06:48:12.722000+00:00,2021-01-11 06:48:12.722000+00:00,0.0
23725,5e3d415d88b36b001e86de3e,57ea31912bb6581000092e89,2021-01-11 00:42:59.670000+00:00,2021-01-11 00:42:59.670000+00:00,0.0
53059,5e3d415d88b36b001e86de3e,57ea31912bb6581000092e89,2021-01-11 02:11:37.838000+00:00,2021-01-11 02:11:37.838000+00:00,0.0
82948,5e3d415d88b36b001e86de3e,57ea31912bb6581000092e89,2021-01-11 03:51:47.711000+00:00,2021-01-11 03:51:47.711000+00:00,0.0
533529,5e3d416088b36b001e86e01e,57ea31912bb6581000092e89,2021-01-11 09:39:16.959000+00:00,2021-01-11 09:48:46.959000+00:00,570.0
522299,5e3d416288b36b001e86e144,57ea31912bb6581000092e89,2021-01-11 09:35:02.076000+00:00,2021-01-11 09:35:02.076000+00:00,0.0
531318,5e3d416288b36b001e86e144,57ea31912bb6581000092e89,2021-01-11 09:38:27.138000+00:00,2021-01-11 09:40:42.138000+00:00,135.0
545450,5e3d416288b36b001e86e144,57ea31912bb6581000092e89,2021-01-11 09:43:33.248000+00:00,2021-01-11 09:44:48.248000+00:00,75.0
550473,5e3d416288b36b001e86e144,57ea31912bb6581000092e89,2021-01-11 09:45:18.822000+00:00,2021-01-11 09:47:03.822000+00:00,105.0
480382,5e3d4163358de0001e4151a2,57ea31912bb6581000092e89,2021-01-11 09:19:00.462000+00:00,2021-01-11 09:23:00.462000+00:00,240.0
27241,5e3d4163358de0001e4151d0,57ea31912bb6581000092e89,2021-01-11 00:50:55.946000+00:00,2021-01-11 00:52:10.946000+00:00,75.0
35365,5e3d4163358de0001e4151d0,57ea31912bb6581000092e89,2021-01-11 01:12:30.078000+00:00,2021-01-11 01:12:30.078000+00:00,0.0
46683,5e3d4163358de0001e4151d0,57ea31912bb6581000092e89,2021-01-11 01:48:46.115000+00:00,2021-01-11 01:48:46.115000+00:00,0.0
78556,5e3d4163358de0001e4151d0,57ea31912bb6581000092e89,2021-01-11 03:39:49.581000+00:00,2021-01-11 03:39:49.581000+00:00,0.0
537923,5e3d4166358de0001e415300,57ea31912bb6581000092e89,2021-01-11 09:40:52.834000+00:00,2021-01-11 09:41:07.834000+00:00,15.0
261653,5e3d4167358de0001e415378,57ea31912bb6581000092e89,2021-01-11 07:41:03.594000+00:00,2021-01-11 07:41:03.594000+00:00,0.0
245038,5e3d4168358de0001e4153b2,57ea31912bb6581000092e89,2021-01-11 07:31:16.616000+00:00,2021-01-11 07:32:16.616000+00:00,60.0
316961,5e3d416c88b36b001e86e73c,57ea31912bb6581000092e89,2021-01-11 08:09:23.413000+00:00,2021-01-11 08:09:38.413000+00:00,15.0
369708,5e3d416c88b36b001e86e73c,57ea31912bb6581000092e89,2021-01-11 08:33:13.766000+00:00,2021-01-11 08:33:13.766000+00:00,0.0
372551,5e3d416c88b36b001e86e73c,57ea31912bb6581000092e89,2021-01-11 08:34:28.320000+00:00,2021-01-11 08:37:13.320000+00:00,165.0
401435,5e3d416c88b36b001e86e73c,57ea31912bb6581000092e89,2021-01-11 08:46:39.333000+00:00,2021-01-11 09:09:09.333000+00:00,1350.0
201539,5e3d417488b36b001e86eb8c,57ea31912bb6581000092e89,2021-01-11 06:57:57.247000+00:00,2021-01-11 06:57:57.247000+00:00,0.0
363233,5e3d4177358de0001e415c0e,57ea31912bb6581000092e89,2021-01-11 08:30:24.220000+00:00,2021-01-11 08:30:39.220000+00:00,15.0
104528,5e3d4190358de0001e415fda,57ea31912bb6581000092e89,2021-01-11 04:35:34.934000+00:00,2021-01-11 04:35:34.934000+00:00,0.0
261670,5e3d41a1358de0001e4161fc,57ea31912bb6581000092e89,2021-01-11 07:41:04.377000+00:00,2021-01-11 07:41:04.377000+00:00,0.0
269825,5e3d41a1358de0001e4161fc,57ea31912bb6581000092e89,2021-01-11 07:45:28.174000+00:00,2021-01-11 07:45:28.174000+00:00,0.0
287513,5e3d41a1358de0001e4161fc,57ea31912bb6581000092e89,2021-01-11 07:55:02.406000+00:00,2021-01-11 07:55:02.406000+00:00,0.0
297076,5e3d41a1358de0001e4161fc,57ea31912bb6581000092e89,2021-01-11 07:59:54.404000+00:00,2021-01-11 07:59:54.404000+00:00,0.0
337848,5e3d41a1358de0001e4161fc,57ea31912bb6581000092e89,2021-01-11 08:18:56.200000+00:00,2021-01-11 08:18:56.200000+00:00,0.0
410697,5e3d41a1358de0001e4161fc,57ea31912bb6581000092e89,2021-01-11 08:50:46.116000+00:00,2021-01-11 08:50:46.116000+00:00,0.0
357984,5e3d41a988b36b001e870f1a,57ea31912bb6581000092e89,2021-01-11 08:27:59.345000+00:00,2021-01-11 08:27:59.345000+00:00,0.0
64032,5e3d41b7cda2a5001e342331,57ea31912bb6581000092e89,2021-01-11 02:52:46.512000+00:00,2021-01-11 02:52:46.512000+00:00,0.0
390965,5e3d41d9358de0001e41660a,57ea31912bb6581000092e89,2021-01-11 08:42:11.778000+00:00,2021-01-11 08:47:26.778000+00:00,315.0
404537,5e3d41d9358de0001e41660a,57ea31912bb6581000092e89,2021-01-11 08:47:58.224000+00:00,2021-01-11 08:48:43.224000+00:00,45.0
457657,5e3d41d9358de0001e41660a,57ea31912bb6581000092e89,2021-01-11 09:10:34.283000+00:00,2021-01-11 09:14:04.283000+00:00,210.0
468486,5e3d41d9358de0001e41660a,57ea31912bb6581000092e89,2021-01-11 09:14:35.276000+00:00,2021-01-11 09:22:50.276000+00:00,495.0
545267,5e3d41d9358de0001e41660a,57ea31912bb6581000092e89,2021-01-11 09:43:29.627000+00:00,2021-01-11 09:44:44.627000+00:00,75.0
550292,5e3d41d9358de0001e41660a,57ea31912bb6581000092e89,2021-01-11 09:45:15.082000+00:00,2021-01-11 09:49:00.082000+00:00,225.0
43401,5e3d41eb358de0001e416754,57ea31912bb6581000092e89,2021-01-11 01:37:31.753000+00:00,2021-01-11 01:37:31.753000+00:00,0.0
57654,5e3d41eb358de0001e416754,57ea31912bb6581000092e89,2021-01-11 02:29:13.120000+00:00,2021-01-11 02:29:13.120000+00:00,0.0
226695,5e3d41ec358de0001e416768,57ea31912bb6581000092e89,2021-01-11 07:18:36.905000+00:00,2021-01-11 07:25:06.905000+00:00,390.0
236902,5e3d41ec358de0001e416768,57ea31912bb6581000092e89,2021-01-11 07:25:39.520000+00:00,2021-01-11 07:42:09.520000+00:00,990.0
264679,5e3d41ec358de0001e416768,57ea31912bb6581000092e89,2021-01-11 07:42:46.448000+00:00,2021-01-11 08:18:46.448000+00:00,2160.0
